Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 1738077.06 29673.88 -236.84 554.21 14.93 13.59 188.52
"SiII 1260" 511811.64 43451.72 -121.48 426.49 13.87 12.9 126.04
"CII 1334" 648493.96 24932.44 -109.12 381.17 14.87 13.72 136.92
"SiIV 1393" 695501.85 22755.24 -80.28 438.85 14.09 12.7 145.52
"SiIV 1402" 308080.64 25040.18 -96.76 442.97 13.99 12.85 139.11
"CIV 1548" 1207073.85 71105.13 -125.6 430.61 14.75 13.72 201.67
"CIV 1550" 1090990.25 67918.81 -34.95 616.01 14.95 13.86 215.28
"SiII 1526" 364721.22 65978.98 -26.71 381.17 14.36 13.62 123.98
"AlII 1670" 387920.36 77797.96 -59.68 307.01 13.12 12.45 114.34
