AlII  1670.7874 1.8330    1.460e9
AlIII 1862.7895 0.2789    5.361e8
AlIII 1854.7164 0.5602    5.432e8
SiI   2515.073  0.1622    1.685e8
SiI   1845.5202 0.22910   1.496e8
SiI   1631.1705 0.2051    1.714e8
SiI   1562.002  0.3758    3.425e8
SiII  2335.123  3.720E-6  7.550e3
SiII  1808.0126 0.00218   6.749e6
SiII  1526.7066 0.11600   1.960E9
SiII  1304.3702 0.09400   1.720E9
SiII  1260.4221 1.007000  2.533E9
SiII  1193.2897 0.499100  3.495e9
SiII  1190.4158 0.250200  3.503E9
SiII  1020.6989 0.028280  6.680e8
SiII   989.8731 0.133000  6.673e8
SiII* 1817.4512 0.000129  2.38e6 
SiII* 1816.9285 0.00166   2.24E+06
SiII* 1533.4312 0.132000  1.960E9
SiII* 1265.0020 0.100400  2.533E9
SiII* 1264.7377 0.903400  2.512E9
SiII* 1197.3938 0.124300  3.495e9
SiII* 1194.5002 0.623300  3.503E9
SiIII 1206.500  1.669000  2.550e9
SiIV  1393.755  0.5140    8.825e8
SiIV  1402.770  0.2553    8.656e8
PI   1774.9487 0.1543    2.177e8
PII  1301.874  0.017250  2.263E7
PII  1152.818  0.236100  3.950E8
PII   963.801  1.458000  3.490E9
PII   961.041  0.348900  8.400E8
PIII 1334.813  0.025290  5.659E7
PIII  998.000  0.111700  2.220E9
PIII  917.118  0.404900  4.792E9
PIII  913.968  0.203100  4.804E9
PIV   950.657  1.163     2.860e9
PV   1128.008  0.2345    1.229e9
PV   1117.977  0.4732    1.263e9
SI   1807.3113 0.1105    6.700e8
SI   1473.9943 0.07296   1.600e8
SI   1425.0299 0.1918    4.500e8
SI   1295.6531 0.1233    4.900e8
SII  1259.519  0.01624   4.560e7
SII  1253.811  0.01088   4.620e7
SII  1250.584  0.005453  5.260e7
SIII 1190.208  0.02217   6.232e7
SIII 1012.502  0.03550   2.281e8
SIV  1062.662  0.03999   1.410e8
SVI   944.523  0.2181    1.631e9
