wave flux flux_err continuum
6559.607421875 278.8092346191406 13.57089614868164 303.56068183429306
6560.857421875 329.67474365234375 17.77927017211914 303.37510574859334
6562.107421875 297.2501525878906 24.523401260375977 303.1894677907112
6563.357421875 301.3567810058594 24.32681655883789 303.003780027444
6564.607421875 273.96661376953125 17.39829444885254 302.8180545255309
6565.857421875 290.5579528808594 13.637519836425781 302.6323033522349
6567.107421875 312.99456787109375 15.491848945617676 302.4465385740623
6568.357421875 356.8200988769531 17.84754180908203 302.2607722581015
6569.607421875 326.505126953125 16.566761016845703 302.07501647114987
6570.857421875 303.2949523925781 14.037642478942871 301.88928328000475
6572.107421875 316.43927001953125 13.800359725952148 301.70358475187095
6573.357421875 289.8447265625 13.325604438781738 301.51793295313837
6574.607421875 283.4201965332031 14.34174633026123 301.33233995118644
6575.857421875 229.82565307617188 19.893028259277344 301.14681781240506
6577.107421875 318.6244201660156 23.78813362121582 300.96137860411545
6578.357421875 347.167236328125 19.245237350463867 300.77603439299855
6579.607421875 300.3504943847656 14.111655235290527 300.5907972457935
6580.857421875 287.1603698730469 13.293221473693848 300.4056792295887
6582.107421875 317.4651794433594 13.638437271118164 300.22069241129793
6583.357421875 321.8992004394531 14.743734359741211 300.0358488575439
6584.607421875 311.70867919921875 14.521753311157227 299.8511606353568
6585.857421875 298.2238464355469 13.337331771850586 299.6666398116504
6587.107421875 273.8865661621094 13.10369873046875 299.48229845333844
6588.357421875 289.9940490722656 13.17747688293457 299.2981486271019
6589.607421875 295.0270080566406 13.435359954833984 299.1142024000874
6590.857421875 287.0158996582031 13.418354034423828 298.9304718389176
6592.107421875 319.40106201171875 13.454218864440918 298.7469690106227
6593.357421875 318.171142578125 13.121092796325684 298.5637059821165
6594.607421875 299.1871643066406 14.090576171875 298.38069482002174
6595.857421875 264.0554504394531 15.839468955993652 298.1979475916014
6597.107421875 300.5438537597656 15.569724082946777 298.0154763633618
6598.357421875 281.8981018066406 13.690642356872559 297.83329320244957
6599.607421875 280.1177673339844 13.067401885986328 297.6514101755456
6600.857421875 307.45281982421875 13.367938041687012 297.4698393497383
6602.107421875 311.2401123046875 15.218334197998047 297.2885927918833
6603.357421875 292.8538818359375 18.91973114013672 297.1076825684286
6604.607421875 326.5833740234375 18.354366302490234 296.92712074692827
6605.857421875 314.78106689453125 14.51132869720459 296.74691939377226
6607.107421875 325.714599609375 13.274317741394043 296.56709057604894
6608.357421875 313.00335693359375 13.056303024291992 296.38764636055566
6609.607421875 300.7966003417969 13.187849998474121 296.208598814148
6610.857421875 272.7597351074219 13.033825874328613 296.0299600038561
6612.107421875 266.34442138671875 12.846077919006348 295.85174199641915
6613.357421875 289.45404052734375 12.910451889038086 295.6739568586345
6614.607421875 282.5052185058594 12.951347351074219 295.4966166576487
6615.857421875 285.0970153808594 12.994131088256836 295.31973346008454
6617.107421875 283.0440368652344 12.916651725769043 295.14331933297217
6618.357421875 268.4602966308594 12.93722915649414 294.96738634322537
6619.607421875 298.3006591796875 13.128127098083496 294.7919465574669
6620.857421875 261.38067626953125 12.93877124786377 294.61701204284327
6622.107421875 311.5440979003906 13.14210319519043 294.4425948661519
6623.357421875 302.9949035644531 13.132440567016602 294.2687070942484
6624.607421875 292.40643310546875 13.03965950012207 294.0953607938718
6625.857421875 249.18653869628906 13.45252799987793 293.9225680322852
6627.107421875 249.412353515625 14.531580924987793 293.7503408759367
6628.357421875 292.030029296875 14.093647956848145 293.57869139203103
6629.607421875 315.70916748046875 13.409863471984863 293.4076316473074
6630.857421875 315.19818115234375 13.173672676086426 293.237173708505
6632.107421875 335.96728515625 14.077326774597168 293.06732964277035
6633.357421875 264.5169677734375 15.526594161987305 292.8981115167844
6634.607421875 273.76983642578125 15.386951446533203 292.72953139751917
6635.857421875 291.3239440917969 13.739057540893555 292.5616013518884
6637.107421875 278.8262634277344 13.172469139099121 292.3943334466312
6638.357421875 253.93650817871094 12.998705863952637 292.22773974883603
6639.607421875 315.620361328125 13.18531608581543 292.0618323251256
6640.857421875 294.8782653808594 13.00674057006836 291.89662324258825
6642.107421875 320.3482666015625 13.115598678588867 291.7321245679632
